index,company_name,stock_symbol,portfolio_percent,price,flat_change,percent_change
232,Symbol Not Found,MLM,0.09%,604.42,-9.52,(-1.55%)
233,Symbol Not Found,PWR,0.09%,259.26,-0.54,(-0.21%)
234,Symbol Not Found,IT,0.09%,477.44,0.77,(0.16%)
235,The Kroger Co.,KR,0.08%,56.99,-0.14,(-0.25%)
236,Exelon Corporation,EXC,0.08%,37.23,-0.34,(-0.90%)
237,Kenvue Inc.,KVUE,0.08%,21.23,-0.23,(-1.07%)
238,Cognizant Technology Solutions,CTSH,0.08%,71.75,-1.54,(-2.10%)
239,"Moderna, Inc.",MRNA,0.08%,105.60,-0.96,(-0.90%)
240,Symbol Not Found,VMC,0.08%,269.69,-3.23,(-1.18%)
241,Pg&e Corporation,PCG,0.08%,16.56,-0.20,(-1.19%)
242,"Diamondback Energy, Inc.",FANG,0.08%,199.45,1.28,(0.65%)
243,"Kinder Morgan, Inc.",KMI,0.08%,18.41,0.07,(0.38%)
244,Halliburton Company,HAL,0.08%,39.93,0.51,(1.29%)
245,Symbol Not Found,CDW,0.08%,253.06,-2.72,(-1.06%)
246,"Global Payments, Inc.",GPN,0.08%,130.15,-3.51,(-2.63%)
247,Symbol Not Found,PPG,0.08%,143.38,-1.52,(-1.05%)
248,Symbol Not Found,VRSK,0.08%,232.78,-2.95,(-1.25%)
249,Symbol Not Found,ACGL,0.08%,92.31,-0.13,(-0.14%)
250,Dollar General Corp.,DG,0.08%,157.35,1.29,(0.83%)
251,The Estee Lauder Companies Inc. Class A,EL,0.08%,152.03,-2.12,(-1.38%)
252,Archer Daniels Midland Company,ADM,0.08%,62.35,-0.46,(-0.73%)
253,Symbol Not Found,ROK,0.08%,283.37,-7.96,(-2.73%)
254,Baker Hughes Company,BKR,0.08%,33.44,-0.06,(-0.18%)
255,Symbol Not Found,PEG,0.08%,66.64,-0.14,(-0.21%)
256,Royal Caribbean Group,RCL,0.07%,140.56,1.55,(1.12%)
257,"Dupont De Nemours, Inc.",DD,0.07%,77.20,0.53,(0.69%)
258,On Semiconductor Corp,ON,0.07%,73.85,0.30,(0.41%)
259,Electronic Arts Inc,EA,0.07%,133.34,0.67,(0.51%)
260,Symbol Not Found,MPWR,0.07%,668.48,-8.94,(-1.32%)
261,Symbol Not Found,EFX,0.07%,260.73,-6.79,(-2.54%)
262,Discover Financial Services,DFS,0.07%,129.38,-1.71,(-1.30%)
263,Keurig Dr Pepper Inc.,KDP,0.07%,31.23,0.56,(1.83%)
264,Devon Energy Corporation,DVN,0.07%,50.95,0.77,(1.53%)
265,Biogen Inc.,BIIB,0.07%,214.83,-0.80,(-0.37%)
266,Fair Isaac Corporation,FICO,0.07%,"1,254.37",4.76,(0.38%)
267,Symbol Not Found,ED,0.07%,90.33,-0.48,(-0.53%)
268,Symbol Not Found,EXR,0.07%,146.74,-0.26,(-0.18%)
269,Symbol Not Found,XYL,0.07%,128.64,-0.60,(-0.46%)
270,Vici Properties Inc.,VICI,0.07%,29.60,-0.19,(-0.64%)
271,Symbol Not Found,HIG,0.07%,102.49,-0.56,(-0.54%)
272,"Delta Air Lines, Inc.",DAL,0.07%,48.22,0.35,(0.73%)
273,Symbol Not Found,FTV,0.07%,84.62,-1.40,(-1.63%)
274,Symbol Not Found,ANSS,0.07%,347.48,0.32,(0.09%)
275,"Xcel Energy, Inc.",XEL,0.07%,53.28,-0.47,(-0.87%)
276,"West Pharmaceutical Services, Inc.",WST,0.07%,395.94,0.23,(0.06%)
277,The Hershey Company,HSY,0.07%,198.27,3.77,(1.94%)
278,The Kraft Heinz Company,KHC,0.07%,37.06,0.16,(0.43%)
279,Charter Comm Inc Del Cl a,CHTR,0.07%,284.15,-6.48,(-2.23%)
280,Symbol Not Found,MTD,0.07%,"1,341.20",9.91,(0.74%)
281,Symbol Not Found,RMD,0.07%,189.32,-8.71,(-4.40%)
282,Symbol Not Found,CBRE,0.07%,94.98,-2.26,(-2.32%)
283,Symbol Not Found,WTW,0.06%,273.44,-1.56,(-0.57%)
284,Symbol Not Found,TSCO,0.06%,258.24,-3.48,(-1.33%)
285,Symbol Not Found,ZBH,0.06%,129.75,-2.23,(-1.69%)
286,Symbol Not Found,KEYS,0.06%,155.00,-1.38,(-0.88%)
287,Dollar Tree Inc.,DLTR,0.06%,135.91,2.76,(2.07%)
288,Symbol Not Found,CAH,0.06%,112.06,0.16,(0.14%)
289,T Rowe Price Group Inc,TROW,0.06%,120.30,-1.62,(-1.33%)
290,Ebay Inc,EBAY,0.06%,52.27,-0.51,(-0.97%)
291,Symbol Not Found,HWM,0.06%,66.11,-2.32,(-3.39%)
292,Symbol Not Found,EIX,0.06%,70.44,-0.29,(-0.41%)
293,Symbol Not Found,WY,0.06%,35.56,-0.35,(-0.97%)
294,Symbol Not Found,LYB,0.06%,102.07,-0.21,(-0.21%)
295,Symbol Not Found,WAB,0.06%,144.86,-0.82,(-0.56%)
296,Hp Inc.,HPQ,0.06%,30.38,0.16,(0.53%)
297,Symbol Not Found,BLDR,0.06%,205.41,-3.14,(-1.51%)
298,Symbol Not Found,AVB,0.06%,181.32,-4.24,(-2.28%)
299,"Wec Energy Group, Inc.",WEC,0.06%,81.56,-0.56,(-0.68%)
300,Symbol Not Found,CHD,0.06%,105.02,0.71,(0.68%)
301,Symbol Not Found,NVR,0.06%,"8,026.27",-73.69,(-0.91%)
302,Symbol Not Found,PHM,0.06%,118.43,-2.19,(-1.82%)
303,Symbol Not Found,ULTA,0.06%,529.01,6.13,(1.17%)
304,Symbol Not Found,GLW,0.06%,32.67,-0.29,(-0.88%)
305,Symbol Not Found,FITB,0.06%,36.70,-0.51,(-1.37%)
306,Symbol Not Found,DOV,0.06%,175.53,-1.66,(-0.94%)
307,Symbol Not Found,TRGP,0.06%,112.23,0.24,(0.21%)
308,Symbol Not Found,MOH,0.06%,404.20,-6.63,(-1.61%)
309,Deckers Outdoor Corp,DECK,0.05%,930.50,-10.76,(-1.14%)
